Item,expSet,WP1_match,SocStat_context,SocStat_text
29,WP1,30,low,Extrem gro&szlig;kotzig meint Annika&#58;
33,WP2,x,low,Die Ultras r&ouml;hrten das Happening&#58;
10,WP2,x,low,Der Nichtsnutz kr&auml;chzte lauthals&#58;
33,WP1,34,low,Ganz doll wacker wiehert Elisabeth&#58;
23,WP1,24,low,Emsig werkelnd labert Lars&#58;
39,WP2,x,high,Das Konsulat &uuml;berlieferte den Rapport&#58;
8,WP2,x,high,Die Juroren verlasen ihr Votum&#58;
37,WP2,x,high,Die Beamtin verschriftlichte hinsichtlich des Sachverhalts&#58;
1,WP1,2,low,Sauber zurechtgemacht labert Peter&#58;
34,WP2,x,low,Der Dorfler schnatterte den Knaller&#58;
13,WP2,x,high,Der Gentleman observierte beim Eintreten&#58;
27,WP1,28,high,Meisterlich begabt stimuliert Susanna&#58;
9,WP1,10,high,Verm&ouml;gend situiert avisiert Paula&#58;
30,WP2,x,low,Der Bulle pinselte eine Notiz&#58;
36,WP2,x,high,Die Geheimdienste offenbarten in der Schriftrolle&#58;
8,WP2,x,low,Die Memme beheulte ihren Struggle&#58;
22,WP2,x,high,Der Adlige schilderte eine befremdliche Begebenheit&#58;
19,WP1,20,high,Regsam engagiert renommiert Lukas&#58;
25,WP2,x,low,Der Laufbursche kritzelte &uuml;ber das Foto&#58;
35,WP2,x,low,Der Paparazzo faselte die krassen News&#58;
9,WP1,10,low,Massig betucht schwafelt Paula&#58;
23,WP2,x,low,Der Fan murmelte w&auml;hrend des Gigs&#58;
32,WP2,x,high,Der Professorenrat debattierte &uuml;ber den Zwist&#58;
6,WP2,x,high,Der B&uuml;rgermeister proklamierte im Amtsblatt&#58;
18,WP2,x,low,Der L&uuml;mmel krakeelte bei seiner Mutter&#58;
37,WP1,38,high,Achtsam wohlmeinend verbalisiert Norbert&#58;
31,WP2,x,high,Der Theaterdirektor pr&auml;zisierte in den Memoiren&#58;
27,WP2,x,low,Die Landratten quatschten mit dem Seeb&auml;ren&#58;
25,WP1,26,low,Mordsm&auml;&szlig;ig betucht brabbelt Heike&#58;
15,WP1,16,high,Feinsinnig veranlagt verk&uuml;ndet Robert&#58;
2,WP2,x,low,Der Knasti feixte auf dem Pausenhof&#58;
24,WP2,x,high,Die Hausherren priesen die Novit&auml;t&#58;
36,WP2,x,low,Die Kammerm&auml;dchen pfuschten auf dem Schmierzettel&#58;
24,WP2,x,low,Die Schulm&auml;dchen begiggelten die Sache&#58;
19,WP2,x,high,Der Hofmeister verlautbarte ohne Piet&auml;t&#58;
39,WP2,x,low,Die Touris gaben den Wink&#58;
4,WP2,x,high,Der Kulturminister artikulierte im Jahresbericht&#58;
5,WP1,6,high,H&ouml;chst strebsam verlautbart Moritz&#58;
25,WP2,x,high,Der Publizist korrespondierte &uuml;ber das Essay&#58;
25,WP1,26,high,Unerh&ouml;rt wohlhabend &auml;u&szlig;ert Heike&#58;
13,WP2,x,low,Die Clique johlte beim Saufen&#58;
1,WP2,x,low,Der Rausschmei&szlig;er blaffte zum Jungen&#58;
20,WP2,x,low,Der P&ouml;bel gr&ouml;lte in den Gassen&#58;
6,WP2,x,low,Der Penner lallte in der Spelunke&#58;
5,WP2,x,low,Der Delegierte &uuml;bersandte die amtliche Botschaft&#58;
38,WP2,x,high,Die Polizeidirektorin avisierte die Rivalit&auml;t&#58;
18,WP2,x,high,Der Vorstandsvorsitzende propagierte in der Sitzung&#58;
33,WP2,x,high,Die Repr&auml;sentanten verifizierten den Eklat&#58;
17,WP1,18,low,Pingelig getrimmt schwafelt Tobias&#58;
27,WP2,x,high,Die Wehrm&auml;nner kommunizierten mit dem Admiral&#58;
11,WP1,12,low,Patent trainiert verklickert Daniel&#58;
31,WP1,32,low,Spitze gedrillt schnarrt Klaus&#58;
7,WP2,x,high,Der Historiker paraphrasierte in dem Traktat&#58;
11,WP2,x,high,Der Kavalier bemerkte in seinem Gefolge&#58;
7,WP1,8,high,Wohlgemut gesinnt proklamiert Dennis&#58;
35,WP1,36,low,Massiv selbst&auml;ndig protzt Vera&#58;
39,WP1,40,high,Leger verweilend ersinnt Sabine&#58;
40,WP2,x,high,Die Richter urteilten souver&auml;n&#58;
9,WP2,x,high,Der Generalsekret&auml;r dementierte im Report&#58;
7,WP2,x,low,Der St&uuml;mper pl&auml;rrte in der Spielh&ouml;lle&#58;
28,WP2,x,low,Die Alten verklickerten dem Knirps&#58;
15,WP2,x,high,Der Offizier verzeichnete im Register&#58;
16,WP2,x,low,Der Assi schmiss in die Runde&#58;
19,WP1,20,low,Aktiv mit dabei protzt Lukas&#58;
30,WP2,x,high,Der Gesetzesh&uuml;ter protokollierte eine Fehde&#58;
40,WP2,x,low,Die Buddies knirschten angefressen&#58;
2,WP2,x,high,Der Gef&auml;ngnisvorstand bezeugte in der Anh&ouml;rung&#58;
22,WP2,x,low,Der Kerl verzapfte eine gruselige Story&#58;
29,WP2,x,low,Die Tratschtante petzte bei der Nachbarin&#58;
14,WP2,x,high,Der Hochwohlgeborene verbreitete anmutig&#58;
11,WP2,x,low,Die Kumpels br&uuml;llten in der Kneipe&#58;
11,WP1,12,high,Dienlich geschult kommentiert Daniel&#58;
17,WP2,x,low,Die G&ouml;re beleierte den Schiri&#58;
29,WP2,x,high,Die Hofdame gestand gegen&uuml;ber der Gouvernante&#58;
23,WP1,24,high,Beflissen arbeitend k&uuml;ndet Lars&#58;
32,WP2,x,low,Der Frechdachs quasselte &uuml;ber den Zoff&#58;
39,WP1,40,low,L&auml;ssig chillend quasselt Sabine&#58;
13,WP1,14,high,Au&szlig;erordentlich pr&auml;pariert formuliert Maria&#58;
7,WP1,8,low,Quietschfidel gelaunt twittert Dennis&#58;
4,WP2,x,low,Der Fatzke hetzte in der BILD&#58;
31,WP1,32,high,Grandios geschult prophezeit Klaus&#58;
1,WP1,2,high,Elegant angezogen spricht Peter&#58;
15,WP2,x,low,Der Hanswurst krakelte auf dem Block&#58;
34,WP2,x,high,Der Bevollm&auml;chtigte dokumentierte die Furore&#58;
16,WP2,x,high,Der Vorstand bem&auml;ngelte im Protokoll&#58;
37,WP1,38,low,Recht zuvorkommend plauscht Norbert&#58;
20,WP2,x,high,Der Landesherr verewigte auf dem Pergament&#58;
33,WP1,34,high,Unermesslich wohlerzogen frohlockt Elisabeth&#58;
12,WP2,x,high,Die Gelehrte bedauerte in ihrer Weisheit&#58;
27,WP1,28,low,Enorm geschickt schnattert Susanna&#58;
23,WP2,x,high,Der Dirigent raunte w&auml;hrend der Darbietung&#58;
21,WP2,x,low,Der Gaffer stresste das Gesocks&#58;
